Generation,City Order,Distance,Fitness
0,[City(10), City(22), City(0), City(18), City(4), City(12), City(24), City(8), City(13), City(20), City(1), City(19), City(3), City(25), City(15), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(9), City(6)],457.694610,0.002184863
1,[City(10), City(22), City(0), City(18), City(4), City(12), City(24), City(8), City(13), City(20), City(1), City(19), City(3), City(25), City(15), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(9), City(6)],457.694610,0.002184863
2,[City(25), City(3), City(19), City(15), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18), City(0), City(22), City(10), City(20), City(1), City(13), City(6), City(9)],452.626356,0.002209328
3,[City(25), City(3), City(19), City(15), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18), City(0), City(22), City(10), City(20), City(1), City(13), City(6), City(9)],452.626356,0.002209328
4,[City(25), City(3), City(19), City(15), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18), City(0), City(22), City(10), City(20), City(1), City(13), City(6), City(9)],452.626356,0.002209328
5,[City(25), City(3), City(19), City(15), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18), City(0), City(22), City(10), City(20), City(1), City(13), City(6), City(9)],452.626356,0.002209328
6,[City(25), City(3), City(19), City(15), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18), City(0), City(22), City(10), City(20), City(1), City(13), City(6), City(9)],452.626356,0.002209328
7,[City(25), City(3), City(19), City(15), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18), City(0), City(22), City(10), City(20), City(1), City(13), City(6), City(9)],452.626356,0.002209328
8,[City(25), City(3), City(19), City(15), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18), City(0), City(22), City(10), City(20), City(1), City(13), City(6), City(9)],452.626356,0.002209328
9,[City(25), City(3), City(19), City(15), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18), City(0), City(22), City(10), City(20), City(1), City(13), City(6), City(9)],452.626356,0.002209328
10,[City(25), City(3), City(19), City(15), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18), City(0), City(22), City(10), City(20), City(1), City(13), City(6), City(9)],452.626356,0.002209328
11,[City(25), City(3), City(19), City(15), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18), City(0), City(22), City(10), City(20), City(1), City(13), City(6), City(9)],452.626356,0.002209328
